Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1880,,,,,,,,,,,23.7 ),19.1,42.8 ]
1968,39,68.5,110.5,95,99.5,135.5,275.5,364,210,120,28,86.5,1632
1969,46,109,119.5,111,84,402,275,134,54,77,79,25.5,1516
1970,52.5,67.5,64.5,178,134,375,141,120.5,226,72,99.5,45.5,1576
1971,51.5,50,111.5,164.5,172.5,132.5,309,158.5,388.5,147.5,6.5,69,1761.5
1972,74.5,98,152,119,129,232.5,389.5,153,288,63.5,105,51.5,1855.5
1973,134,71.5,6.5,272,158,171.5,22.5,183,177,200,9.5,2.5,1408
1974,25.5,84.5,92.5,246,72.5,267,382.5,233.5,124,136.5,81,54.5,1800
1975,37.5,55,52.5,185.5,81,208.5,199,238.5,137.5,205.5,120,52.5,1573
1976,7,156,119,187.5,200,301,148,191,363.5,141.5,39.5,53,1907
1977,18,29.5,185.5,111,81.5,168,94.5,59,143,52.5,154,51.5,1148
1978,28.5,11,57.5,79,89,319,75,49,247,90.5,66,55.5,1167
1979,62,95,96,188.5,152,220,69,166.5,154.5,85,118,26.5,1433
1980,85.5,19.5,161.5,175.5,238.5,145.5,375,303.5,204,166,112.5,55,2042
1981,12,62.5,112.5,186.5,204,200.5,97,120,144.5,205,88.5,25,1458
1982,21,29,123.5,115.5,98,115,302,303.5,86.5,20,117.5,38,1369.5
1983,45,43.5,137.5,215,153.5,266,252.5,118,506.5,135,31.5,24,1928
1984,46.5,69.5,50,69,97.5,292.5,195,90.5,118,53,35,45.5,1162
1985,12.5,115,190.5,177.5,105.5,389.5,232,12,211.5,48,67,38,1599
1986,14.5,30,152,126.5,229.5,263.5,422.5,23.5,55.5,74,19,68.5,1479
1987,68.5,44.5,104.5,46,163,150,365.5,36.5,116,110.5,49.5,15.5,1270
1988,36,25,125.5,88.5,176,384,213.5,134,133,69.5,49,17,1451
1989,121,182.5,101,104.5,196,185.5,139.5,249,479,40.5,30,18.5,1847
1990,48.5,141,132.5,114,162,153.5,197,58.5,387.5,148,129,32,1703.5
1991,29.5,77.5,180,157.5,112.5,266.5,306,31.5,90,245,84,43.0 ),1623
1992,35.5,41,167.5,145,168.5,168,121.5,165.5,80,110,63,76,1341.5
1993,68,94.5,63.5,103.5,95,373.5,324.5,356.5,230,92,106.5,65,1972.5
1994,52.5,77.5,27.5,137,109.5,113,82,40.5,127,49,35,30,880.5
1995,42.5,22,83,67,393.5,120.5,379,46.5,57.5,82.5,55,17,1366
1996,36.5,40,173,39.5,95,218,149,337,157.5,109.5,69,91.5,1515.5
1997,33,37.5,84.5,108,167,131.5,354.5,185,212.5,11,163,71,1558.5
1998,116.5,59,88,171.5,232.5,271,107,90,205,473.5,4,30,1848
1999,34.5,56.5 ),141,72.5,167,523.5,106.5,99.5,192,100.5,76.5,5.5,1575.5
2000,66.5,28.5,95.5,88,146,145,49.5,78,331.5,148.5,172,19.5,1368.5
2001,114,79,87,27,148.5,215.5,100.5,99.5,130.5,170.5,32.5,30,1234.5
2002,69.5,18.5,106,142.5,112,86.5,149,66.5,79.5,96,39.5,59,1024.5
2003,97.5,64,111,188,118.5,262,256,298.5,137.5,53,191,36.5,1813.5
2004,16.5,54.5,74,137.5,254.5,161,50,249.5,210.5,276,63,105.5,1652.5
2005,38.5,55,84,33.5,94.5,73,198.5,102,91.5,107.5,37,39.5,954.5
2006,40.5,99.5,120,135,160.5,183,379,84,108.5,91.5,71.5,109.5,1582.5
2007,22.5,71.5,81,17.5,156,159,250,119,128.5,92,23.5,92,1212.5
2008,47,61,123.5,178,198.5,189.5,98.5,87.5,207,123,66.5,50.5,1430.5
2009,89.5,128,113,87.5,107,134,309,106.5,53.5,131,156.5,42,1457.5
2010,33,140,166.5,191.5,203,227,425,175,219,160,15,106,2061
2011,10,80.5,60,107,415,145.5,137.5,62,345,205.5,73,9.5,1650.5
2012,31,115,142,118,44.5,236.5,333.5,112,140.5,88,120,81,1562
2013,41,96,65.5,109.5,38,173.5,140,102,358,217.5,50,59.5,1450.5
2014,42.5,55,147.5,84.5,78,61,98,487,65,105,60,93.5,1377
2015,120.5,43.5,159,163.5,128,263,416.5,241.5,190.5,38.5,177,101,2042.5
2016,77,99,69,180.5,147.5,284,102.5,148.5,458.5,99.5,82,92,1840
2017,61,40,56,129,66,205,150.5,129.5,159,397,43,33.5,1469.5
2018,42.5,23.5,157,161,187,209,368.5,112.5,390.5,35.5,22.5,60.5,1770
2019,25,41,68.5,107,84.5,140.5,213.5,355,84.5,215,25.5,47.5,1407.5
2020,64,55.5,92,121.5,114,250.5,552,45.5,114,171.5,41,23,1644.5
2021,55.5,54,143,24,,,,,,,,,276.5 ]
